Other
Amcap Fd Investment Port
American Balanced Fund I
American Beacon Lg Cap V
American Cent Equity Inc
American Cent Growth Fun
American High Income Tru
American Mutual Fund Por
Artisan Intl Fund
Artisan Intl Value Fund
Artisan Mid Cap Value Fu
Blackrock High Yield Bon
Capital Income Builder I
Capital Wld Growth & Inc
Columbia Acorn Fund
Dodge & Cox Balanced Fun
Dodge & Cox Intl Stock F
Dodge & Cox Stock Fund
Europacific Growth Fund
Fidelity Advr New Insigh
Fidelity Balanced Fund
Fidelity Blue Chip Growt
Fidelity Contrafund
Fidelity Diversified Int
Fidelity Growth Company
Fidelity Intl Growth & I
Fidelity Magellan Fund
Fidelity Otc Portfolio
Fidelity Puritan Fund
Fidelity Sp 500 Index Fu
Fidelity Sp Extended Mkt
Fidelity Sp Tot Mkt Inde
First Eagle Global Fund
First Eagle Overseas Fun
Franklin Income Fund-Us
Franklin Rising Div Fund
Fundamental Investors
Goldman Sachs Mid Cap Va
Growth Fund Of America
Harbor Capital Appreciat
Harbor Intl Fund
Hartford Cap Appreciatio
Income Fund Of America
Investment Company Of Am
Ishares Dow Jones Sel Di
Ishares Iboxx Hi Yld Bd
Ishares Msci Emg Mrkbl I
Ishares Russell 2000 Ind
Ishares Russell Midcap I
Ishares Russell1000 Gr I
Ishares Russell1000Val I
Ishares S&P 500 Index Fu
Ishares S&P Midcap 400 I
Ishares S&P Smallcap600I
Ishares S&P U.S.Pref Stk
Ishares S&P/Tsx 60 Index
Ivy Asset Strat Fund
J.P. Morgan Mid Cap Valu
J.P. Morgan Us Equity Fu
Janus Balanced Fund
John Hancock Fds Iii Dis
Jp Morgan Large Cap Grow
Jp Morgan U.S.Lg Cap Cor
Jpmorgan Income Builder
Lazard Emer Mrkt Equity
Loomis Sayles Bond Fund
Loomis Sayles Invt Grd B
Loomis Sayles Strategic
Mainstay Large Cap Growt
Mfs Growth Fund
Mfs Ser Tr V-Mfs Intl Va
Mfs Value Fund
Mutual Global Discovery
Mutual Shares Fund
Neuberger Berman Genesis
New Economy Fund
New Perspective Fund
New World Fund Inc
Oakmark Equity And Incom
Oakmark Fund The
Oakmark Intl Fund
Oppenheimer Global Fund
Oppenheimer Intl Growth
Prudential Jennison Mid
Smallcap World Fund Inc
Spdr Dow Jones Industria
Spdr S&P 500 Etf
Spdr S&P Div Etf
Spdr Select Sec Health C
Spdr Select Sec Industri
Spdr Select Sector Energ
Spdr Select Sector Finl
Spdr Select Sector Tech
T Rowe Price Blue Chip G
T Rowe Price Cap Appr Fd
T Rowe Price Eq Index 50
T Rowe Price Equity Inco
T Rowe Price Growth Stoc
T Rowe Price Intl Stock
T Rowe Price Mid Cap Val
T Rowe Price Mid Capital
T Rowe Price New Horizon
T Rowe Price New Income
T Rowe Price Value Fund
Templeton Growth Fund
Thornburg Intl Value Fun
Thornburg Invt Inc Build
Tiaa Cref Bond Market Fu
Vanguard 500 Index Fund
Vanguard Balanced Index
Vanguard Cap Opportunity
Vanguard Div Appr Index
Vanguard Energy Fund
Vanguard Equity Income F
Vanguard Explorer Fund
Vanguard Extended Indx M
Vanguard Ftse All-Wld Ex
Vanguard Growth Index Fu
Vanguard Health Care Fun
Vanguard High Div Yld In
Vanguard Inst Index Fd
Vanguard Inst Tot Stk Mk
Vanguard Mid Cap Index F
Vanguard Morgan Growth F
Vanguard Primecap Fund
Vanguard Small-Cap Index
Vanguard Sml-Cap Gwth In
Vanguard Sml-Cap Value I
Vanguard Specialized Div
Vanguard Specialized Rei
Vanguard Tax-Managed Int
Vanguard Tot Intl Stk In
Vanguard Tot Stk Mkt Ind
Vanguard Value Index Fun
Vanguard Wellesley Incom
Vanguard Wellington Fund
Vanguard Windsor Fund
Vanguard Windsor Ii Fund
Washington Mutual Invest
Wells Fargo Advantage Gw
Western Asst Core Plus B
